State,Agency Type,Agency Name,Population1,"Total Offenses","Crimes Against Persons","Crimes Against Property","Crimes Against Society","Assault Offenses","Aggravated Assault","Simple Assault",Intimidation,"Homicide Offenses","Murder and Nonnegligent Manslaughter","Negligent Man- 1slaughter","Justifiable Homicide","Human Trafficking Offenses","Commercial Sex Acts","Involuntary Servitude","Kidnapping/ Abduction","Sex Offenses",Rape,Sodomy,"Sexual Assault With an Object",Fondling,Incest,"Statutory Rape",Arson,Bribery,"Burglary/ Breaking & Entering","Counter- feiting/ Forgery","Destruction/ Damage/ Vandalism of Property","Embezzle- ment","Extortion/ Blackmail","Fraud Offenses","False Pretenses/ Swindle/ Confidence Game","Credit Card/ Automated Teller Machine Fraud","Imper- sonation","Welfare Fraud","Wire Fraud","Identity  Theft","Hacking/ Computer  Invasion","Larceny/ Theft Offenses","Pocket- picking","Purse- snatching","Shop- lifting","Theft From Building","Theft From Coin Op- erated Machine or Device","Theft from Motor Vehicle","Theft of  Motor  Vehicle Parts or Acces- sories","All Other Larceny","Motor Vehicle Theft",Robbery,"Stolen Property Offenses","Animal  Cruelty","Drug/ Narcotic Offenses","Drug/ Narcotic Violations","Drug Equipment Violations","Gambling Offenses","Betting/ Wagering","Operating/ Promoting/ Assisting Gambling","Gambling Equipment Violations","Sports Tampering","Por- nography/ Obscene Material","Pros- titution Offenses","Pros- titution","Assisting or Promoting Prostitution","Purchasing Prostitution","Weapon Law Violations"
OHIO,Cities,Uhrichsville,"5,343",188,68,53,67,64,1,39,24,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,1,0,5,2,3,0,0,1,0,1,0,0,0,0,0,33,0,0,14,7,1,1,0,10,5,1,2,0,63,31,32,0,0,0,0,0,1,0,0,0,0,3
OHIO,Cities,"Union Township, Clermont County","48,187","2,541",387,"1,265",889,347,12,195,140,0,0,0,0,0,0,0,6,34,15,0,0,19,0,0,2,0,75,36,151,0,1,95,26,39,3,0,0,27,0,849,0,5,391,108,3,94,12,236,36,8,12,0,869,441,428,0,0,0,0,0,2,0,0,0,0,18
OHIO,Cities,Uniontown,"3,349",183,40,118,25,40,6,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,13,0,0,15,3,1,0,0,0,10,1,63,0,0,8,13,0,8,0,34,4,0,1,0,20,14,6,0,0,0,0,0,3,0,0,0,0,2
OHIO,Cities,Upper Arlington,"35,572",708,61,586,61,51,2,24,25,2,2,0,0,0,0,0,4,4,1,0,0,3,0,0,1,0,79,23,62,0,2,67,10,9,1,0,0,46,1,314,2,2,101,27,0,81,5,96,10,5,23,0,57,29,28,0,0,0,0,0,1,0,0,0,0,3
OHIO,Cities,Upper Sandusky,"6,497",364,97,200,67,85,5,48,32,0,0,0,0,0,0,0,1,11,2,0,0,6,0,3,6,0,23,10,32,0,0,11,6,3,0,0,0,2,0,116,0,0,18,20,1,29,0,48,1,0,1,0,62,35,27,0,0,0,0,0,1,0,0,0,0,4
OHIO,Cities,Urbana,"11,337","1,093",197,587,309,177,13,101,63,0,0,0,0,0,0,0,2,18,7,2,0,9,0,0,3,0,45,12,135,0,1,42,6,7,2,1,0,26,0,334,2,0,97,54,0,44,5,132,9,0,6,0,303,172,131,0,0,0,0,0,2,0,0,0,0,4
OHIO,Cities,Utica,"2,220",76,28,34,14,28,3,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,14,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,0,1,0,9,2,0,0,0,10,8,2,0,0,0,0,0,2,0,0,0,0,2
OHIO,Cities,Van Wert,"10,631",909,260,465,184,246,18,114,114,0,0,0,0,0,0,0,0,14,9,1,0,4,0,0,0,0,47,14,101,0,1,23,5,4,1,0,0,13,0,271,0,0,40,56,0,27,0,148,4,2,2,1,166,100,66,0,0,0,0,0,6,0,0,0,0,11
OHIO,Cities,Vermilion,"10,436",289,58,171,60,56,2,31,23,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,10,2,18,0,0,20,1,7,0,0,0,12,0,114,0,0,4,2,0,33,2,73,2,1,4,0,53,34,19,0,0,0,0,0,2,0,0,0,0,5
OHIO,Cities,Village of Leesburg,"1,301",116,32,58,26,29,2,5,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,14,0,0,3,1,0,0,0,0,2,0,30,0,0,2,2,0,0,0,26,2,1,3,0,25,15,10,0,0,0,0,0,0,0,0,0,0,1
OHIO,Cities,Wadsworth,"23,744","1,170",159,542,469,146,18,71,57,1,1,0,0,0,0,0,4,8,3,0,0,5,0,0,0,0,32,12,70,0,0,59,35,10,1,0,0,13,0,331,0,2,134,17,1,50,3,124,9,4,25,3,438,271,167,0,0,0,0,0,6,2,0,2,0,20
OHIO,Cities,Wapakoneta,"9,771",438,166,212,60,158,3,68,87,0,0,0,0,0,0,0,1,7,5,0,0,2,0,0,0,0,15,17,23,0,0,8,2,1,0,0,0,5,0,142,0,0,34,22,0,20,2,64,5,0,2,0,58,36,22,0,0,0,0,0,0,0,0,0,0,2
OHIO,Cities,Warren,"39,280","4,363","1,511","2,193",659,"1,431",136,936,359,4,4,0,0,0,0,0,18,58,35,6,0,17,0,0,8,0,511,13,413,0,2,142,78,10,1,0,0,53,0,931,8,9,108,188,1,180,25,412,75,65,33,0,554,334,220,0,0,0,0,0,12,14,0,14,0,79
OHIO,Cities,Warren Township,"5,110",207,86,108,13,81,19,22,40,0,0,0,0,0,0,0,2,3,1,0,0,2,0,0,0,0,26,0,25,0,0,2,1,1,0,0,0,0,0,45,0,0,4,5,0,11,2,23,8,1,1,0,9,6,3,0,0,0,0,0,0,0,0,0,0,4
OHIO,Cities,Washington Court House,"14,210","1,313",221,728,364,206,9,79,118,0,0,0,0,0,0,0,5,10,8,0,0,2,0,0,2,0,72,17,127,0,0,22,0,10,0,2,0,10,0,447,5,2,76,105,1,91,5,162,16,6,19,0,352,151,201,0,0,0,0,0,6,0,0,0,0,6
OHIO,Cities,Waterville,"5,490",69,19,31,19,17,0,7,10,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,5,0,0,5,2,1,0,0,0,2,0,18,0,1,2,0,0,2,0,13,2,0,0,0,17,11,6,0,0,0,0,0,1,0,0,0,0,1
OHIO,Cities,Wauseon,"7,345",483,115,290,78,109,7,51,51,0,0,0,0,0,0,0,1,5,1,1,0,3,0,0,2,0,25,7,53,0,1,6,2,2,0,0,0,2,0,192,2,3,82,32,0,17,5,51,1,0,3,0,73,46,27,0,0,0,0,0,2,1,0,1,0,2
OHIO,Cities,Waverly,"4,295",302,62,94,146,56,3,16,37,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,8,0,0,5,4,1,0,0,0,0,0,69,0,0,48,6,1,2,0,12,4,0,5,0,135,66,69,0,0,0,0,0,0,2,0,2,0,9
OHIO,Cities,Wellston,"5,506",471,104,254,113,99,7,39,53,0,0,0,0,0,0,0,0,5,3,0,0,1,0,1,0,0,33,1,74,0,0,2,1,0,0,0,0,1,0,134,0,0,7,37,0,20,3,67,5,1,4,0,110,57,53,0,0,0,0,0,1,1,0,1,0,1
OHIO,Cities,West Chester Township,"62,063","3,198",576,"1,844",778,528,24,275,229,0,0,0,0,0,0,0,5,43,21,2,0,18,0,2,2,0,137,55,289,0,11,142,6,11,0,0,0,125,0,"1,107",3,2,251,138,1,279,25,408,39,17,45,0,737,433,304,0,0,0,0,0,14,3,1,2,0,24
